UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1855,16714,M,297.6,307.2,1470,42.6,44,0,No Failure
1856,31269,H,297.7,307.3,1249,62.8,47,0,No Failure
1857,16716,M,297.8,307.4,1752,26.1,52,0,No Failure
1858,49037,L,297.7,307.4,1643,36.5,55,0,No Failure
1859,16718,M,297.8,307.4,1488,36.1,57,0,No Failure
1860,49039,L,297.8,307.4,1355,45.8,60,0,No Failure
1861,49040,L,297.8,307.6,1607,30.3,62,0,No Failure
1862,16721,M,297.9,307.6,1609,30.3,64,0,No Failure
1863,49042,L,297.9,307.7,1517,44.4,67,0,No Failure
1864,16723,M,297.9,307.7,1517,39.5,69,0,No Failure
1865,49044,L,297.9,307.7,1546,37.6,72,0,No Failure
1866,49045,L,297.9,307.7,1567,34.7,74,0,No Failure
1867,16726,M,298.1,307.9,1662,28.9,76,0,No Failure
1868,49047,L,298.1,307.9,1502,41.8,79,0,No Failure
1869,49048,L,298.3,308.0,1361,56.9,81,0,No Failure
1870,16729,M,298.3,308.1,1630,32.7,83,0,No Failure
1871,49050,L,298.3,308.0,1486,42.3,86,0,No Failure
1872,49051,L,298.3,308.1,1840,21.5,88,0,No Failure
1873,49052,L,298.3,308.1,1326,58.4,90,0,No Failure
1874,49053,L,298.4,308.1,1367,57.8,92,0,No Failure
1875,49054,L,298.4,308.1,1598,32.7,94,0,No Failure
1876,49055,L,298.3,308.0,1363,50.1,96,0,No Failure
1877,49056,L,298.3,308.0,1242,62.0,98,0,No Failure
1878,16737,M,298.2,307.8,1566,33.8,100,0,No Failure
1879,16738,M,298.1,307.7,1424,47.7,103,0,No Failure
1880,16739,M,298.2,307.7,1608,33.8,106,0,No Failure
1881,49060,L,298.1,307.7,1705,29.1,109,0,No Failure
1882,49061,L,298.0,307.6,1548,45.8,111,0,No Failure
1883,16742,M,298.0,307.6,1581,43.4,113,0,No Failure
1884,16743,M,298.0,307.6,1472,46.7,116,0,No Failure
1885,16744,M,298.0,307.6,1792,26.0,119,0,No Failure
1886,49065,L,298.0,307.6,1683,32.8,122,0,No Failure
1887,49066,L,297.9,307.6,1503,40.7,124,0,No Failure
1888,16747,M,297.9,307.5,1642,32.4,126,0,No Failure
1889,16748,M,297.8,307.4,1902,24.3,129,0,No Failure
1890,31303,H,297.7,307.4,1432,40.2,132,0,No Failure
1891,49070,L,297.8,307.4,1512,40.8,137,0,No Failure
1892,49071,L,297.7,307.4,1764,29.0,139,0,No Failure
1893,16752,M,297.8,307.4,1438,43.6,141,0,No Failure
1894,49073,L,297.8,307.5,1631,29.9,144,0,No Failure
1895,31308,H,297.9,307.5,1880,23.3,146,0,No Failure
1896,49075,L,297.9,307.6,1344,54.3,151,0,No Failure
1897,49076,L,297.9,307.5,1574,35.8,153,0,No Failure
1898,49077,L,297.8,307.4,1418,41.2,155,0,No Failure
1899,49078,L,297.8,307.5,1372,54.1,157,0,No Failure
1900,49079,L,297.8,307.5,1388,40.0,159,0,No Failure
1901,31314,H,297.9,307.6,1493,36.0,161,0,No Failure
1902,16761,M,297.9,307.6,1505,40.1,166,0,No Failure
1903,49082,L,298.0,307.6,1694,29.1,169,0,No Failure
1904,49083,L,297.9,307.6,1968,20.4,171,0,No Failure
1905,16764,M,298.0,307.6,1569,35.6,173,0,No Failure
1906,49085,L,297.9,307.6,1687,29.1,176,0,No Failure
1907,49086,L,297.9,307.6,1430,52.4,178,0,No Failure
1908,49087,L,297.9,307.6,1504,42.4,180,0,No Failure
1909,49088,L,297.9,307.6,1977,20.2,182,0,No Failure
1910,49089,L,298.0,307.7,1435,45.6,184,0,No Failure
1911,31324,H,298.0,307.7,1547,36.8,186,0,No Failure
1912,16771,M,298.1,307.8,1316,57.2,191,0,No Failure
1913,16772,M,298.0,307.7,1621,34.9,194,0,No Failure
1914,16773,M,298.0,307.8,1492,40.2,197,0,No Failure
1915,49094,L,298.0,307.7,1643,32.3,200,0,No Failure
1916,49095,L,298.0,307.7,1492,38.7,202,0,No Failure
1917,49096,L,298.0,307.7,1387,50.8,204,0,No Failure
1918,16777,M,298.1,307.9,1463,47.3,206,0,No Failure
1919,16778,M,298.1,307.9,1496,40.0,0,0,No Failure
1920,49099,L,298.2,308.0,1658,30.0,3,0,No Failure
1921,49100,L,298.1,307.9,2161,17.5,5,0,No Failure
1922,49101,L,298.1,307.9,1665,32.0,7,0,No Failure
1923,49102,L,298.0,307.8,1716,26.6,9,0,No Failure
1924,49103,L,298.0,307.7,1529,34.1,11,0,No Failure
1925,49104,L,297.9,307.7,1353,50.7,13,0,No Failure
1926,49105,L,297.9,307.7,1537,37.7,15,0,No Failure
1927,49106,L,298.0,307.7,1606,30.8,17,0,No Failure
1928,31341,H,298.0,307.8,1314,47.8,19,0,No Failure
1929,49108,L,298.0,307.8,1623,29.9,24,0,No Failure
1930,16789,M,298.0,307.8,1483,50.9,26,0,No Failure
1931,16790,M,298.1,307.9,1569,37.0,29,0,No Failure
1932,16791,M,298.2,308.0,1969,21.7,32,0,No Failure
1933,16792,M,298.1,308.0,1686,29.3,35,0,No Failure
1934,49113,L,298.1,308.0,1638,35.1,38,0,No Failure
1935,49114,L,298.1,307.9,1698,33.3,40,0,No Failure
1936,16795,M,298.1,307.9,1377,55.1,42,0,No Failure
1937,16796,M,298.1,308.0,2129,18.4,45,0,No Failure
1938,49117,L,298.2,308.0,1411,42.4,48,0,No Failure
1939,49118,L,298.1,307.9,1517,40.8,50,0,No Failure
1940,16799,M,298.1,307.9,1303,53.9,52,0,No Failure
1941,49120,L,298.1,307.9,1578,35.6,55,0,No Failure
1942,49121,L,298.1,307.9,1425,58.2,57,0,No Failure
1943,49122,L,298.1,308.0,1456,42.4,59,0,No Failure
1944,49123,L,298.1,308.0,1704,30.9,61,0,No Failure
1945,49124,L,298.1,308.1,1791,27.3,63,0,No Failure
1946,49125,L,298.1,308.1,1616,32.8,65,0,No Failure
1947,49126,L,298.2,308.1,1622,34.9,67,0,No Failure
1948,49127,L,298.2,308.1,1462,49.9,69,0,No Failure
1949,49128,L,298.1,308.1,1410,45.8,71,0,No Failure
1950,16809,M,298.1,308.0,1543,41.9,73,0,No Failure
1951,16810,M,298.0,307.9,1479,47.6,76,0,No Failure
1952,49131,L,298.0,307.8,1839,22.7,79,0,No Failure
1953,49132,L,298.0,307.8,1266,60.5,81,0,No Failure
1954,49133,L,297.9,307.7,1593,34.9,83,0,No Failure
1955,49134,L,297.9,307.8,1459,46.9,85,0,No Failure
1956,49135,L,297.9,307.7,1308,55.2,87,0,No Failure
1957,16816,M,297.9,307.7,1364,46.8,89,0,No Failure
1958,31371,H,297.9,307.7,1618,35.9,92,0,No Failure
1959,31372,H,297.9,307.7,1464,43.2,97,0,No Failure
1960,16819,M,297.8,307.6,1352,49.4,102,0,No Failure
1961,49140,L,297.8,307.6,1446,51.4,105,0,No Failure
1962,49141,L,297.8,307.5,1448,51.2,107,0,No Failure
1963,49142,L,297.8,307.5,1391,48.6,109,0,No Failure
1964,49143,L,297.7,307.5,1379,43.3,111,0,No Failure
1965,16824,M,297.8,307.5,1405,46.9,113,0,No Failure
1966,49145,L,297.8,307.5,1581,33.1,116,0,No Failure
1967,49146,L,297.9,307.6,1515,40.5,118,0,No Failure
1968,49147,L,297.9,307.6,1589,37.8,120,0,No Failure
1969,49148,L,298.0,307.6,1281,50.8,122,0,No Failure
1970,31383,H,297.8,307.5,1631,31.3,124,0,No Failure
1971,16830,M,297.9,307.6,1202,67.0,129,0,No Failure
1972,49151,L,297.9,307.6,1298,52.7,132,0,No Failure
1973,49152,L,297.9,307.6,1612,30.7,134,0,No Failure
1974,49153,L,297.9,307.6,1747,25.3,136,0,No Failure
1975,49154,L,298.0,307.6,1450,48.7,138,0,No Failure
1976,49155,L,298.0,307.7,1422,45.6,140,0,No Failure
1977,16836,M,298.1,307.7,1419,47.4,142,0,No Failure
1978,16837,M,298.1,307.7,1633,30.7,145,0,No Failure
1979,49158,L,298.0,307.7,1442,43.6,148,0,No Failure
1980,31393,H,298.0,307.6,1420,45.8,150,0,No Failure
1981,16840,M,298.0,307.6,1301,58.5,155,0,No Failure
1982,49161,L,298.0,307.6,1385,45.0,158,0,No Failure
1983,16842,M,298.0,307.7,1487,41.3,160,0,No Failure
1984,16843,M,298.0,307.6,1459,44.4,163,0,No Failure
1985,16844,M,298.0,307.5,1387,45.5,166,0,No Failure
1986,49165,L,298.1,307.7,1537,40.8,169,0,No Failure
1987,49166,L,298.1,307.6,1498,42.9,171,0,No Failure
1988,16847,M,298.2,307.8,1599,31.2,173,0,No Failure
1989,31402,H,298.3,307.9,1420,39.2,176,0,No Failure
1990,49169,L,298.2,307.9,1785,23.4,181,0,No Failure
1991,49170,L,298.2,307.8,1423,48.1,183,0,No Failure
1992,16851,M,298.2,307.8,1583,36.6,185,0,No Failure
1993,49172,L,298.2,307.8,1375,46.6,188,0,No Failure
1994,16853,M,298.3,308.0,1463,42.5,190,0,No Failure
1995,16854,M,298.2,307.9,1403,45.1,193,0,No Failure
1996,49175,L,298.3,308.0,1451,47.1,196,0,No Failure
1997,16856,M,298.4,308.0,1416,38.2,198,1,Tool Wear Failure
1998,49177,L,298.3,308.1,1672,41.3,0,0,No Failure
1999,31412,H,298.3,308.0,1637,30.8,2,0,No Failure
2000,49179,L,298.4,308.0,1540,37.8,7,0,No Failure
2001,49180,L,298.4,308.1,1279,53.1,9,0,No Failure
2002,49181,L,298.4,308.2,1604,34.9,11,0,No Failure
2003,49182,L,298.5,308.2,1654,27.1,13,0,No Failure
2004,16863,M,298.5,308.2,1564,37.5,15,0,No Failure
2005,49184,L,298.5,308.2,1451,47.5,18,0,No Failure
2006,49185,L,298.5,308.3,1504,38.0,20,0,No Failure
2007,16866,M,298.5,308.3,1381,50.5,22,0,No Failure
2008,49187,L,298.6,308.4,1562,34.4,25,0,No Failure
2009,49188,L,298.5,308.3,1811,24.7,27,0,No Failure
2010,16869,M,298.6,308.3,1717,28.7,29,0,No Failure
2011,49190,L,298.6,308.3,1278,60.5,32,0,No Failure
2012,49191,L,298.7,308.5,1616,30.2,34,0,No Failure
2013,49192,L,298.6,308.4,1397,46.4,36,0,No Failure
2014,49193,L,298.6,308.4,1485,42.9,38,0,No Failure
2015,49194,L,298.6,308.4,1310,59.7,40,0,No Failure
2016,49195,L,298.5,308.2,1301,66.3,42,1,Power Failure
2017,49196,L,298.5,308.3,1458,44.0,44,0,No Failure
2018,49197,L,298.7,308.5,1483,42.5,46,0,No Failure
2019,49198,L,298.7,308.5,1375,46.4,48,0,No Failure
2020,16879,M,298.7,308.5,1660,27.0,50,0,No Failure
2021,31434,H,298.7,308.4,1560,33.3,53,0,No Failure
2022,49201,L,298.7,308.5,1480,42.2,58,0,No Failure
2023,49202,L,298.7,308.4,1373,46.9,60,0,No Failure
2024,49203,L,298.7,308.5,1444,54.2,62,0,No Failure
2025,16884,M,298.7,308.6,1722,24.7,64,0,No Failure
2026,49205,L,298.7,308.5,1469,39.9,67,0,No Failure
2027,16886,M,298.7,308.5,1360,52.9,69,0,No Failure
2028,49207,L,298.7,308.4,1750,25.8,72,0,No Failure
2029,16888,M,298.7,308.3,1349,46.6,74,0,No Failure
2030,49209,L,298.7,308.5,1668,35.2,77,0,No Failure
2031,49210,L,298.9,308.6,1400,49.5,79,0,No Failure
2032,49211,L,298.8,308.6,1331,62.8,81,0,No Failure
2033,49212,L,298.8,308.5,1444,42.2,83,0,No Failure
2034,31447,H,298.8,308.5,1359,47.6,85,0,No Failure
2035,16894,M,298.8,308.5,1425,47.4,90,0,No Failure
2036,16895,M,298.9,308.6,1469,34.2,93,0,No Failure
2037,49216,L,299.0,308.7,1892,22.8,96,0,No Failure
2038,31451,H,299.0,308.7,1940,19.9,98,0,No Failure
2039,49218,L,299.0,308.8,1405,55.2,103,0,No Failure
2040,16899,M,299.0,308.9,1449,39.6,105,0,No Failure
2041,49220,L,299.1,308.9,1686,29.6,108,0,No Failure
2042,49221,L,299.1,308.9,1680,27.2,110,0,No Failure
2043,16902,M,299.1,308.9,1397,52.4,112,0,No Failure
2044,16903,M,299.2,309.0,1597,30.3,115,0,No Failure
2045,49224,L,299.3,309.1,1470,41.1,118,0,No Failure
2046,16905,M,299.3,309.1,1703,31.3,120,0,No Failure
2047,49226,L,299.3,309.1,1388,45.5,123,0,No Failure
2048,49227,L,299.3,309.2,1775,24.2,125,0,No Failure
2049,49228,L,299.3,309.2,1465,41.5,127,0,No Failure
2050,16909,M,299.3,309.2,1586,37.9,129,0,No Failure
2051,16910,M,299.5,309.3,1675,29.2,132,0,No Failure
2052,16911,M,299.4,309.2,1470,44.4,135,0,No Failure
2053,49232,L,299.5,309.3,1477,40.4,138,0,No Failure
2054,49233,L,299.5,309.3,1382,61.0,140,0,No Failure
2055,16914,M,299.6,309.4,1605,29.8,142,0,No Failure
2056,49235,L,299.6,309.4,1643,32.9,145,0,No Failure
2057,49236,L,299.5,309.3,1333,54.1,147,0,No Failure
2058,49237,L,299.5,309.3,1520,42.3,149,0,No Failure
2059,16918,M,299.5,309.3,1902,24.0,151,0,No Failure
2060,31473,H,299.5,309.4,1386,44.4,154,0,No Failure
2061,49240,L,299.6,309.5,1803,27.7,159,0,No Failure
2062,49241,L,299.7,309.6,1359,50.7,161,0,No Failure
2063,16922,M,299.7,309.6,1477,42.7,163,0,No Failure
2064,49243,L,299.7,309.6,1321,53.4,166,0,No Failure
2065,49244,L,299.6,309.5,1453,41.4,168,0,No Failure
2066,49245,L,299.7,309.6,1419,45.1,170,0,No Failure
2067,49246,L,299.7,309.6,1512,36.2,172,0,No Failure
2068,49247,L,299.7,309.6,1553,36.8,174,0,No Failure
2069,16928,M,299.7,309.6,1534,39.1,176,0,No Failure
2070,31483,H,299.7,309.6,1553,41.0,179,0,No Failure
2071,49250,L,299.7,309.5,1352,49.7,184,0,No Failure
2072,16931,M,299.7,309.6,1313,60.0,186,0,No Failure
2073,49252,L,299.6,309.5,1570,35.5,189,0,Random Failures
2074,49253,L,299.6,309.4,1677,31.1,191,0,No Failure
2075,49254,L,299.5,309.4,1602,31.5,193,0,No Failure
2076,49255,L,299.5,309.4,1390,58.8,195,1,Overstrain Failure
2077,49256,L,299.4,309.3,1544,36.0,197,0,No Failure
2078,49257,L,299.4,309.4,1701,31.2,199,0,No Failure
2079,16938,M,299.4,309.3,1692,28.4,201,0,No Failure
2080,16939,M,299.3,309.3,1523,37.9,204,0,No Failure
2081,49260,L,299.3,309.2,2280,15.4,207,0,No Failure
2082,16941,M,299.4,309.3,1485,47.1,209,0,No Failure
2083,31496,H,299.4,309.2,1513,36.1,212,0,No Failure
2084,31497,H,299.4,309.3,1743,28.2,0,0,No Failure
2085,49264,L,299.5,309.3,1442,46.2,5,0,No Failure
2086,49265,L,299.5,309.3,1462,46.7,7,0,No Failure
2087,31500,H,299.4,309.3,1439,49.7,9,0,No Failure
2088,49267,L,299.5,309.3,1577,36.6,14,0,No Failure
2089,49268,L,299.6,309.4,1331,46.4,16,0,No Failure
2090,49269,L,299.5,309.3,1941,22.5,18,0,No Failure
2091,49270,L,299.5,309.2,1393,47.3,20,0,No Failure
2092,49271,L,299.4,309.2,1433,42.1,22,0,No Failure
2093,49272,L,299.4,309.2,1444,48.2,24,0,No Failure
2094,49273,L,299.4,309.2,1564,39.0,26,0,No Failure
2095,49274,L,299.4,309.3,1377,43.6,28,0,No Failure
2096,49275,L,299.4,309.3,1525,41.5,30,0,No Failure
2097,16956,M,299.5,309.4,1387,56.2,32,0,No Failure
2098,16957,M,299.4,309.4,1326,47.5,35,0,No Failure
2099,49278,L,299.4,309.3,1401,59.0,38,0,No Failure
2100,49279,L,299.4,309.3,1596,31.8,40,0,No Failure
2101,16960,M,299.3,309.3,1471,46.0,42,0,No Failure
2102,49281,L,299.3,309.3,1528,37.8,45,0,No Failure
2103,49282,L,299.3,309.3,1325,62.0,47,0,No Failure
2104,16963,M,299.3,309.1,1376,46.7,49,0,No Failure
2105,16964,M,299.3,309.1,1600,35.3,52,0,No Failure
2106,49285,L,299.3,309.1,1495,44.0,55,0,No Failure
2107,49286,L,299.4,309.1,1645,28.6,57,0,No Failure
2108,16967,M,299.4,309.1,1417,47.3,59,0,No Failure
2109,31522,H,299.4,309.0,1415,51.7,62,0,No Failure
2110,16969,M,299.3,309.0,1496,43.4,67,0,No Failure
2111,31524,H,299.3,309.0,1508,35.0,70,0,No Failure
2112,49291,L,299.4,309.0,1436,47.9,75,0,No Failure
2113,49292,L,299.5,309.1,1852,22.6,77,0,No Failure
2114,49293,L,299.5,309.1,1863,22.5,79,0,No Failure
2115,31528,H,299.4,309.1,1373,44.1,81,0,No Failure
2116,49295,L,299.4,309.0,1404,47.3,86,0,No Failure
2117,16976,M,299.4,309.0,1381,44.9,88,0,No Failure
2118,31531,H,299.4,308.9,1762,29.3,91,0,No Failure
2119,31532,H,299.3,308.9,1429,43.0,96,0,No Failure
2120,16979,M,299.3,308.9,1858,24.7,101,0,No Failure
2121,31534,H,299.2,308.8,1908,21.3,104,0,No Failure
2122,16981,M,299.2,308.8,1503,37.4,109,0,No Failure
2123,16982,M,299.2,308.8,1523,38.9,112,0,No Failure
2124,49303,L,299.3,309.0,1491,38.4,115,0,No Failure
2125,49304,L,299.2,308.9,1430,39.1,117,0,No Failure
2126,49305,L,299.3,308.9,1258,69.4,119,1,Power Failure
2127,49306,L,299.3,309.0,1449,46.5,121,0,No Failure
2128,31541,H,299.3,309.0,1425,40.6,123,0,No Failure
2129,49308,L,299.4,309.0,1800,24.3,128,0,No Failure
2130,31543,H,299.4,309.0,1607,33.7,130,0,No Failure
2131,49310,L,299.4,309.0,1391,58.2,135,0,No Failure
2132,49311,L,299.4,309.1,1432,45.4,137,0,No Failure
2133,49312,L,299.4,309.0,1660,28.4,139,0,No Failure
2134,31547,H,299.3,309.0,1732,29.7,141,0,No Failure
2135,49314,L,299.3,309.0,1473,46.3,146,0,No Failure
2136,49315,L,299.3,309.0,1511,47.8,148,0,No Failure
2137,49316,L,299.2,308.9,1588,41.5,150,0,No Failure
2138,49317,L,299.3,308.9,1623,31.1,152,0,No Failure
2139,49318,L,299.3,309.0,1734,30.6,154,0,No Failure
2140,49319,L,299.3,309.0,1415,47.6,156,0,No Failure
2141,49320,L,299.3,309.0,1419,46.6,158,0,No Failure
2142,17001,M,299.3,308.9,1577,34.9,160,0,No Failure
2143,49322,L,299.3,308.9,1376,60.3,163,0,No Failure
2144,17003,M,299.3,308.8,1442,49.0,165,0,No Failure
2145,49324,L,299.4,308.9,1451,40.5,168,0,No Failure
2146,49325,L,299.3,308.8,1550,45.8,170,0,No Failure
2147,49326,L,299.3,308.8,1647,32.9,172,0,No Failure
2148,49327,L,299.4,308.9,1550,33.7,174,0,No Failure
2149,49328,L,299.4,308.9,1583,34.1,176,0,No Failure
2150,49329,L,299.4,309.0,1613,32.2,178,0,No Failure
2151,31564,H,299.3,308.8,1636,35.5,180,0,No Failure
2152,17011,M,299.3,308.7,1289,51.5,185,0,No Failure
2153,17012,M,299.3,308.8,1648,28.4,188,0,No Failure
2154,31567,H,299.3,308.8,1397,45.4,191,0,No Failure
2155,17014,M,299.3,308.9,1767,24.8,196,0,No Failure
2156,49335,L,299.3,308.8,1341,47.7,199,0,No Failure
2157,17016,M,299.4,308.9,1457,41.5,201,0,No Failure
2158,17017,M,299.4,309.0,1939,19.8,204,0,No Failure
2159,17018,M,299.5,309.0,1399,49.7,207,0,No Failure
2160,17019,M,299.5,309.0,1602,31.3,210,0,No Failure
2161,49340,L,299.4,309.0,1507,41.0,213,0,No Failure
2162,49341,L,299.4,309.1,1464,40.5,215,0,No Failure
2163,49342,L,299.5,309.1,1336,42.1,217,0,No Failure
2164,49343,L,299.6,309.2,1422,39.8,219,0,No Failure
2165,49344,L,299.6,309.2,1540,36.7,221,0,No Failure
2166,49345,L,299.5,309.1,1476,47.8,223,0,No Failure
2167,17026,M,299.6,309.2,1867,23.4,225,1,Tool Wear Failure
2168,31581,H,299.6,309.1,1588,41.3,0,0,No Failure
2169,17028,M,299.5,309.1,1420,49.5,5,0,No Failure
2170,49349,L,299.5,309.1,1415,49.2,8,0,No Failure
2171,17030,M,299.4,309.1,1500,43.3,10,0,No Failure
2172,49351,L,299.5,309.1,1502,44.6,13,0,No Failure
2173,49352,L,299.5,309.2,1816,23.0,15,0,No Failure
2174,17033,M,299.5,309.2,1495,41.6,17,0,No Failure
2175,49354,L,299.6,309.2,1572,33.4,20,0,No Failure
2176,17035,M,299.5,309.2,1590,35.9,22,0,No Failure
2177,17036,M,299.6,309.3,1387,48.3,25,0,No Failure
2178,17037,M,299.6,309.2,1393,47.7,28,0,No Failure
2179,49358,L,299.6,309.2,1602,37.3,31,0,No Failure
2180,49359,L,299.6,309.2,1601,33.3,33,0,No Failure
2181,31594,H,299.6,309.2,1597,36.3,35,0,No Failure
2182,31595,H,299.5,309.1,1548,44.3,40,0,No Failure
2183,17042,M,299.5,309.2,1314,61.8,45,0,No Failure
2184,17043,M,299.6,309.3,1577,39.8,48,0,No Failure
2185,49364,L,299.8,309.4,1475,43.4,51,0,No Failure
2186,49365,L,299.8,309.4,1630,32.4,53,0,No Failure
2187,49366,L,299.7,309.4,1445,42.9,55,0,No Failure
2188,17047,M,299.8,309.4,1439,47.4,57,0,No Failure
2189,49368,L,299.7,309.3,1420,44.1,60,0,No Failure
2190,31603,H,299.7,309.2,1554,41.6,62,0,No Failure
2191,17050,M,299.6,309.1,1471,44.3,67,0,No Failure
2192,49371,L,299.6,309.0,1648,33.6,70,0,No Failure
2193,49372,L,299.6,309.0,1472,48.8,72,0,No Failure
2194,17053,M,299.5,308.9,1448,42.9,74,0,No Failure
2195,17054,M,299.6,308.9,1568,35.3,77,0,No Failure
2196,49375,L,299.6,308.9,1613,30.8,80,0,No Failure
2197,17056,M,299.7,308.9,1551,35.4,82,0,No Failure
2198,49377,L,299.7,309.0,1412,49.2,85,0,No Failure
2199,17058,M,299.7,308.9,1478,41.0,87,0,No Failure
2200,17059,M,299.8,309.1,1268,58.0,90,0,No Failure
2201,49380,L,299.8,309.1,1546,35.6,93,0,No Failure
2202,49381,L,299.8,309.0,1567,36.1,95,0,No Failure
2203,17062,M,299.9,309.2,1548,35.7,97,0,No Failure
2204,49383,L,299.8,309.0,1614,30.8,100,0,No Failure
2205,17064,M,299.7,309.1,1352,46.1,102,0,No Failure
2206,49385,L,299.9,309.2,1624,34.6,105,0,No Failure
2207,49386,L,299.9,309.2,1436,52.0,107,0,No Failure
2208,49387,L,299.8,309.2,1591,37.5,109,0,No Failure
2209,31622,H,299.8,309.2,1435,42.6,111,0,No Failure
2210,49389,L,299.8,309.3,1386,49.4,116,0,No Failure
2211,49390,L,299.7,309.2,1401,54.1,118,0,No Failure
2212,17071,M,299.6,309.0,1245,64.0,120,0,No Failure
2213,49392,L,299.7,309.1,1475,40.0,123,0,No Failure
2214,49393,L,299.7,309.1,1473,39.4,125,0,No Failure
2215,31628,H,299.7,309.2,1355,44.8,127,0,No Failure
2216,31629,H,299.7,309.2,1468,49.6,132,0,No Failure
2217,49396,L,299.7,309.2,1645,30.8,137,0,No Failure
2218,49397,L,299.7,309.1,1347,55.3,139,0,No Failure
2219,49398,L,299.7,309.1,1713,33.5,141,0,No Failure
2220,17079,M,299.6,309.1,1435,48.4,143,0,No Failure
2221,17080,M,299.6,309.0,1736,26.1,146,0,No Failure
2222,49401,L,299.6,309.0,1372,60.4,149,0,No Failure
2223,49402,L,299.7,309.0,1605,33.0,151,0,No Failure
2224,49403,L,299.6,309.0,1413,48.5,153,0,No Failure
2225,17084,M,299.7,309.0,1645,31.9,155,0,No Failure
2226,17085,M,299.7,309.0,1465,49.0,158,0,No Failure
2227,17086,M,299.6,308.9,1685,27.8,161,0,No Failure
2228,49407,L,299.5,308.8,1965,20.4,164,0,No Failure
2229,31642,H,299.4,308.6,1542,41.8,166,0,No Failure
2230,49409,L,299.4,308.7,1681,30.8,171,0,No Failure
2231,49410,L,299.5,308.7,1446,45.7,173,0,No Failure
2232,49411,L,299.4,308.6,1415,56.4,175,0,No Failure
2233,49412,L,299.5,308.6,1672,30.5,177,0,No Failure
2234,49413,L,299.5,308.7,2549,13.0,179,1,Power Failure
2235,49414,L,299.4,308.6,1492,40.5,181,0,No Failure
2236,17095,M,299.4,308.6,1455,42.7,183,0,No Failure
2237,17096,M,299.3,308.5,1422,43.1,186,0,No Failure
2238,49417,L,299.3,308.6,1403,50.6,189,0,No Failure
2239,49418,L,299.3,308.6,1474,49.6,191,0,No Failure
2240,49419,L,299.2,308.6,1381,50.0,193,0,No Failure
2241,49420,L,299.2,308.5,1457,44.7,195,0,No Failure
2242,49421,L,299.2,308.4,1711,28.9,197,0,No Failure
2243,49422,L,299.2,308.4,1667,29.0,199,0,No Failure
2244,49423,L,299.2,308.4,1465,35.0,201,0,No Failure
2245,17104,M,299.3,308.4,1542,37.5,203,1,Tool Wear Failure
2246,17105,M,299.3,308.4,1438,42.3,0,0,No Failure
2247,49426,L,299.3,308.4,1406,47.4,3,0,No Failure
2248,17107,M,299.2,308.4,1396,48.5,5,0,No Failure
2249,17108,M,299.3,308.5,1304,60.6,8,0,No Failure
2250,49429,L,299.2,308.5,1442,46.5,11,0,No Failure
2251,17110,M,299.2,308.4,1396,48.7,13,0,No Failure
2252,31665,H,299.1,308.3,1424,43.4,16,0,No Failure
2253,31666,H,299.1,308.3,1451,42.8,21,0,No Failure
2254,49433,L,299.2,308.4,1386,54.1,26,0,No Failure
2255,49434,L,299.1,308.3,1325,46.9,28,0,No Failure
2256,49435,L,299.1,308.3,1559,33.7,30,0,No Failure
2257,49436,L,299.1,308.3,1489,38.1,32,0,No Failure
2258,49437,L,299.1,308.3,1892,25.2,34,0,No Failure
2259,49438,L,299.1,308.2,1319,60.3,36,0,No Failure
2260,49439,L,299.1,308.3,1431,52.3,38,0,No Failure
2261,31674,H,299.1,308.3,1521,36.5,40,0,No Failure
2262,17121,M,299.1,308.2,1435,45.2,45,0,No Failure
2263,49442,L,299.1,308.3,1533,42.4,48,0,No Failure
2264,17123,M,299.2,308.4,1529,43.0,50,0,No Failure
2265,17124,M,299.2,308.4,1415,43.5,53,0,No Failure
2266,17125,M,299.2,308.4,1330,51.2,56,0,No Failure
2267,49446,L,299.2,308.5,1381,60.6,59,0,No Failure
2268,49447,L,299.2,308.5,1370,52.4,61,0,No Failure
2269,49448,L,299.2,308.5,1438,46.6,63,0,No Failure
2270,49449,L,299.3,308.6,1314,48.2,65,0,No Failure
2271,49450,L,299.3,308.6,1437,48.1,67,0,No Failure
2272,49451,L,299.2,308.5,1821,26.1,69,0,No Failure
2273,17132,M,299.3,308.6,1448,52.1,71,0,No Failure
2274,49453,L,299.3,308.5,1589,32.7,74,0,No Failure
2275,49454,L,299.3,308.6,1520,33.7,76,0,No Failure
2276,49455,L,299.3,308.6,1605,37.0,78,0,No Failure
2277,49456,L,299.3,308.7,1393,54.2,80,0,No Failure
2278,31691,H,299.3,308.7,1408,44.4,82,0,No Failure
2279,17138,M,299.3,308.7,1459,35.6,87,0,No Failure
2280,49459,L,299.4,308.7,1525,39.0,90,0,No Failure
2281,49460,L,299.4,308.8,1390,57.0,92,0,No Failure
2282,49461,L,299.3,308.7,1536,38.9,94,0,No Failure
2283,49462,L,299.4,308.7,1459,47.6,96,0,No Failure
2284,49463,L,299.2,308.5,1387,51.1,98,0,No Failure
2285,49464,L,299.2,308.5,1378,53.4,100,0,No Failure
2286,49465,L,299.4,308.7,1381,56.7,102,0,No Failure
2287,17146,M,299.4,308.7,1289,60.5,104,0,No Failure
2288,49467,L,299.4,308.6,1746,26.8,107,0,No Failure
